Latitude,Longitude,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation
-30.0,137.5,0.2151680246572054,77.6,0.35162044,459.88174,63,14,68,67
-30.0,137.75,0.2161480928904244,84.4,0.34317854,459.6814,61,14,65,67
-30.0,138.0,0.2154013575365146,69.3,0.31595066,460.9597,65,14,49,66
-30.0,138.25,0.2111885732039809,60.2,0.2882689,463.39557,67,14,36,64
-30.0,138.5,0.1842265251957412,59.7,0.28518504,464.4628,67,16,35,63
-30.0,138.75,0.1422433965041169,68.1,0.29461735,465.10953,65,19,38,63
-30.0,139.0,0.1229637966148445,82.7,0.31635413,464.40573,61,20,50,63
-30.0,139.25,0.1583086706143582,100.9,0.27277,463.3174,57,18,32,64
-30.0,139.5,0.1656945148970754,121.0,0.25906426,463.55917,52,17,28,64
-30.0,139.75,0.154488827926772,142.3,0.26133454,466.6356,48,18,29,62
-30.0,140.0,0.1659121037791037,164.3,0.26860052,469.54404,44,17,31,59
-30.0,140.25,0.1749856057621183,186.7,0.28357056,472.94144,40,17,34,57
-30.0,140.5,0.1636210086977198,209.4,0.31368104,473.30173,36,17,48,56
-30.0,140.75,0.1574643955189025,208.3,0.34050995,471.4876,36,18,64,58
-30.0,141.0,0.1594261947797522,204.0,0.3626729,469.64325,37,18,72,59
-30.0,141.25,0.1652817855367348,202.4,0.3663653,467.79544,37,17,74,61
-30.0,141.5,0.1842866412160219,203.6,0.3467873,467.1394,37,16,67,61
-30.0,141.75,0.1839575928325454,207.4,0.34127647,467.3105,37,16,64,61
-30.0,142.0,0.1717733073369821,213.9,0.33887765,466.6748,36,17,63,61
-30.0,142.25,0.1515074105301339,220.7,0.34578857,465.33105,34,18,66,63
-30.0,142.5,0.1266383533065284,227.6,0.36400515,465.11966,33,20,73,63
-30.0,142.75,0.10677178975616,236.6,0.37903985,465.69272,32,22,77,62
-30.0,143.0,0.10585363101702,247.6,0.3843337,465.88824,30,22,79,62
-30.0,143.25,0.113854034708458,258.3,0.36963606,464.67758,29,21,75,63
-30.0,143.5,0.1312997891079811,234.5,0.3460812,463.52783,32,20,66,64
-30.0,143.75,0.1457479843160226,210.7,0.31106117,463.57614,36,19,46,64
-30.0,144.0,0.1502329251662429,186.9,0.27859876,464.31686,40,18,33,63
